Date,Brexit,ln_brexit
2019-10-16,20274,9.91709455594235
2019-10-17,43290,10.675676940436
2019-10-18,31840,10.3684786399583
2019-10-19,51694,10.8530969996031
2019-10-20,41758,10.6396463286893
2019-10-21,37626,10.5354505797711
2019-10-22,35584,10.4796513776103
2019-10-23,28098,10.2434536784116
2019-10-24,21751,9.98741501247141
2019-10-25,18307,9.81503877935102
2019-10-26,13367,9.50054426197147
2019-10-27,13594,9.51738379790658
2019-10-28,29411,10.2891240330101
2019-10-29,25427,10.1435668805565
2019-10-30,20600,9.93304635477767
2019-10-31,17842,9.78931050747373
2019-11-01,14180,9.55958780008612
2019-11-02,10901,9.29660980712836
2019-11-03,11364,9.33820574297408
2019-11-04,15684,9.66039636341222
2019-11-05,12962,9.46977727898766
2019-11-06,11087,9.31352852977235
2019-11-07,10398,9.24936875894366
2019-11-08,8595,9.05893591781695
2019-11-09,8680,9.0687768076544
2019-11-10,11328,9.3350328159335
2019-11-11,9434,9.15207546384421
2019-11-12,9160,9.12260145766818
2019-11-13,9110,9.117127990254
2019-11-14,8534,9.05181346374795
